6678 75384
4656 unawares 2
4657 applaud 1
4658 suppress 1
4659 nobleman 1
4660 halberds 1
4661 fates 1
4662 impose 1
4663 resist 2
4664 falsehood 2
4665 surprised 2
4666 repossess 1
4667 answers 1
4668 consents 1
4669 affairs 3
4670 doubtful 1
4671 eclipsed 1
4672 burgundy 2
4673 flight 1
4674 doubtless 1
4675 presaging 1
4676 prophecy 1
4677 misgive 1
4678 conflicts 1
4679 foretold 1
4680 lurks 1
4681 'long 1
4682 persuade 2
4683 deign 1
4684 drummer 1
4685 scrupulous 1
4686 fearless 2
4687 minds 2
4688 climb 1
4689 soonest 1
4690 crowns 5
4691 bruit 1
4692 usurps 1
4693 belgia 1
4694 germans 1
4695 hollanders 1
4696 flock 2
4697 southam 1
4698 marcheth 1
4699 atlas 1
4700 weakling 1
4701 gallant 1
4702 cools 1
4703 cheerful 1
4704 coop 1
4705 barnet 1
4706 bug 2
4707 recover 1
4708 puissant 1
4709 could'st 1
4710 latest 1
4711 gasp 1
4712 'commend 1
4713 mought 1
4714 distinguished 1
4715 delivered 1
4716 upward 1
4717 wreaths 1
4718 bright-shining 1
4719 suspicious 1
4720 threatening 2
4721 attain 1
4722 easeful 1
4723 western 1
4724 gallia 1
4725 arrived 4
4726 coast 2
4727 cheerly 3
4728 harms 1
4729 mast 2
4730 blown 1
4731 overboard 1
4732 cable 2
4733 holding-anchor 1
4734 sailors 1
4735 swallow 3
4736 pilot 2
4737 helm 2
4738 lad 1
4739 tearful 1
4740 add 3
4741 moan 1
4742 ship 3
4743 splits 1
4744 industry 1
4745 saved 3
4746 anchor 2
4747 topmost 1
4748 tackles 1
4749 shrouds 1
4750 tacklings 1
4751 unskilful 1
4752 ned 1
4753 allow 3
4754 skilful 1
4755 quicksand 1
4756 deceit 2
4757 sand 1
4758 famish 1
4759 threefold 1
4760 hoped-for 1
4761 childish 1
4762 weakness 3
4763 infuse 1
4764 magnanimity 1
4765 doubting 1
4766 betimes 1
4767 infect 1
4768 resolute 1
4769 knights 1
4770 gainsay 1
4771 cancell 1
4772 wolf 1
4773 proclamation 2
4774 scold 1
4775 railer 1
4776 sprawl'st 1
4777 serious 2
4778 usest 1
4779 hard-favour 1
4780 alms-deed 1
4781 petitioners 1
4782 put'st 1
4783 limed 2
4784 bush 2
4785 misdoubteth 1
4786 hapless 1
4787 male 1
4788 caught 4
4789 daedalus 1
4790 icarus 1
4791 minos 1
4792 tragic 1
4793 tree 1
4794 sprang'st 1
4795 delights 2
4796 reignier 1
4797 sicils 1
4798 jerusalem 1
4799 ransom 1
4800 stately 1
4801 mirthful 1
4802 comic 1
4803 befits 1
4804 annoy 2
4805 camillo 37
4806 archidamus 3
4807 understanding 3
4808 instructs 1
4809 alter 1
4810 unspeakable 1
4811 mamillius 5
4812 polixenes 19
4813 changes 2
4814 watery 1
4815 star 1
4816 shepherd 21
4817 perpetuity 1
4818 cipher 1
4819 multiply 1
4820 leontes 43
4821 seven-night 1
4822 hermione 14
4823 coldly 1
4824 bohemia 10
4825 by-gone 1
4826 ward 2
4827 thwack 1
4828 distaffs 1
4829 week 2
4830 gest 1
4831 prefix 1
4832 jar 1
4833 clock 1
4834 lady-she 1
4835 hostess 3
4836 tricks 1
4837 lordings 1
4838 verier 1
4839 wag 1
4840 temptations 1
4841 unfledged 1
4842 play-fellow 1
4843 dearest 2
4844 spokest 1
4845 earn 1
4846 squire 1
4847 officed 1
4848 lovest 1
4849 sicily 1
4850 cheap 2
4851 rover 1
4852 he's 1
4853 be't 1
4854 pate 2
4855 soaking 1
4856 finer 1
4857 natures 4
4858 severals 1
4859 head-piece 1
4860 extraordinary 1
4861 messes 1
4862 perchance 1
4863 negligent 1
4864 negligence 2
4865 infinite 1
4866 doings 1
4867 wilful-negligent 1
4868 industriously 1
4869 weighing 2
4870 doubted 1
4871 non-performance 1
4872 infects 1
4873 infirmities 1
4874 plainer 1
4875 trespass 2
4876 its 4
4877 eye-glass 1
4878 thicker 1
4879 cuckold 1
4880 vision 1
4881 rumour 1
4882 mute 1
4883 cogitation 1
4884 resides 2
4885 slippery 1
4886 impudently 1
4887 negative 1
4888 hobby-horse 1
4889 flax-wench 1
4890 troth-plight 1
4891 say't 1
4892 justify't 1
4893 stander-by 1
4894 clouded 1
4895 'shrew 1
4896 reiterate 1
4897 whispering 1
4898 leaning 1
4899 noses 2
4900 inside 1
4901 stopping 1
4902 laughing 1
4903 infallible 2
4904 horsing 1
4905 skulking 1
4906 corners 2
4907 wishing 1
4908 clocks 1
4909 minutes 1
4910 noon 1
4911 midnight 2
4912 pin 3
4913 web 1
4914 covering 1
4915 lout 1
4916 mindless 1
4917 hovering 1
4918 temporizer 1
4919 evil 4
4920 inclining 1
4921 liver 1
4922 running 1
4923 medal 1
4924 profits 2
4925 thrifts 1
4926 doing 5
4927 cupbearer 1
4928 meaner 2
4929 benched 1
4930 reared 1
4931 sees 3
4932 galled 1
4933 mightst 3
4934 bespice 1
4935 draught 1
4936 cordial 1
4937 for't 3
4938 provided 1
4939 removed 3
4940 thereby 1
4941 sealing 1
4942 courts 1
4943 kingdoms 1
4944 allied 1
4945 split'st 1
4946 countenance 3
4947 province 1
4948 wafting 1
4949 falling 3
4950 contempt 1
4951 speeds 1
4952 breeding 2
4953 changeth 1
4954 sighted 1
4955 basilisk 1
4956 sped 1
4957 certainly 1
4958 thereto 2
4959 clerk-like 1
4960 experienced 1
4961 adorns 1
4962 gentry 1
4963 parents 1
4964 behove 1
4965 impriso 1
4966 concealment 1
4967 acknowledge 2
4968 declare 1
4969 incidency 1
4970 jelly 1
4971 yoked 1
4972 freshest 1
4973 savour 1
4974 dullest 1
4975 nostril 1
4976 arrive 2
4977 approach 2
4978 baby 2
4979 blue 1
4980 train 2
4981 blest 2
4982 censure 1
4983 spider 2
4984 abhorr 1
4985 ingredient 1
4986 cracks 1
4987 gorge 1
4988 sides 2
4989 hefts 1
4990 pander 1
4991 mistrusted 1
4992 pre-employ 1
4993 pinch 2
4994 trick 4
4995 posterns 1
4996 easily 1
4997 know't 1
4998 signs 2
4999 antigonus 9
5000 otherwise 1
5001 stables 1
5002 couples 1
5003 farther 4
5004 inch 1
5005 peaces 1
5006 smell 2
5007 nose 3
5008 see't 1
5009 feel't 1
5010 credit 2
5011 blamed 1
5012 overture 1
5013 credulity 1
5014 confined 2
5015 raise 1
5016 commandment 1
5017 paulina 18
5018 lock 1
5019 visitors 1
5020 emilia 4
5021 frights 1
5022 babe 3
5023 receives 1
5024 unsafe 1
5025 lunes 1
5026 take't 2
5027 honey-mouth 1
5028 red-look 1
5029 obedience 2
5030 dares 2
5031 show't 1
5032 advocate 2
5033 loud'st 1
5034 innocence 1
5035 persuades 1
5036 speaking 1
5037 fails 1
5038 freed 2
5039 enfranchised 1
5040 mere 1
5041 adulteress 1
5042 harlot 1
5043 blank 1
5044 level 1
5045 plot-proof 1
5046 hook 2
5047 shadows 1
5048 heavings 1
5049 medicinal 1
5050 presses 1
5051 needful 4
5052 audacious 1
5053 trifles 3
5054 accord 1
5055 errand 2
5056 blessing 3
5057 mankind 1
5058 witch 3
5059 intelligencing 1
5060 bawd 7
5061 entitling 1
5062 push 1
5063 bastard 4
5064 dotard 1
5065 woman-tired 1
5066 unroosted 1
5067 partlet 1
5068 give't 2
5069 crone 1
5070 husbands 2
5071 feat 1
5072 with't 2
5073 instantly 3
5074 consumed 1
5075 testimony 1
5076 call'st 1
5077 merciful 2
5078 instruct 4
5079 kites 2
5080 ravens 1
5081 nurses 1
5082 casting 2
5083 savageness 1
5084 cruelty 1
5085 condemn 3
5086 posts 1
5087 cleomenes 3
5088 dion 2
5089 delphos 1
5090 landed 2
5091 hasting 1
5092 ear-deafening 1
5093 thunder 3
5094 apollo 4
5095 proclamations 1
5096 forcing 1
5097 commodity 2
5098 first-fruits 1
5099 barr 1
5100 infectious 1
5101 starr 1
5102 unluckily 1
5103 milk 1
5104 haled 1
5105 proclaimed 1
5106 strumpet 2
5107 immodest 1
5108 child-bed 1
5109 'longs 1
5110 fashion 2
5111 hurried 1
5112 prize 3
5113 straw 1
5114 surmises 1
5115 proofs 2
5116 jealousies 1
5117 rigor 1
5118 refer 2
5119 higher 1
5120 howe'er 1
5121 boldness 2
5122 chapel 1
5123 recreation 1
5124 daily 1
5125 mariner 1
5126 skies 2
5127 grimly 1
5128 blusters 1
5129 thou'lt 2
5130 ailest 1
5131 clown 17
5132 winked 1
5133 helped 1
5134 fairy 1
5135 lucky 2
5136 secrecy 1
5137 sheep 1
5138 mayest 1
5139 discern 1
5140 extended 1
5141 cottage 1
5142 disguise 2
5143 autolycus 22
5144 daffodils 2
5145 heigh 5
5146 doxy 1
5147 dale 1
5148 reigns 2
5149 sheet 1
5150 bleaching 1
5151 hedge 1
5152 pugging 1
5153 tooth 3
5154 quart 1
5155 ale 2
5156 lark 2
5157 tirra-lyra 1
5158 chants 2
5159 thrush 1
5160 jay 1
5161 songs 1
5162 aunts 1
5163 tumbling 1
5164 hay 1
5165 florizel 18
5166 three-pile 2
5167 shines 1
5168 tinkers 1
5169 sow-skin 1
5170 budget 1
5171 stocks 3
5172 traffic 3
5173 sheets 2
5174 kite 1
5175 builds 1
5176 linen 2
5177 littered 1
5178 snapper-up 1
5179 unconsidered 1
5180 drab 1
5181 purchased 1
5182 revenue 1
5183 cheat 1
5184 gallows 3
5185 beating 1
5186 terrors 1
5187 horseman 1
5188 footman 1
5189 vices 2
5190 whipped 1
5191 ape-bearer 1
5192 process-server 1
5193 bailiff 1
5194 compassed 1
5195 prodigal 1
5196 tinker's 1
5197 flown 1
5198 knavish 1
5199 professions 1
5200 settled 2
5201 softly 2
5202 spices 1
5203 sheep-shearing 1
5204 perdita 12
5205 swain 3
5206 wearing 1
5207 goddess-like 1
5208 prank 1
5209 feasts 1
5210 feeders 1
5211 attired 1
5212 opposed 1
5213 necessities 1
5214 strangle 1
5215 lift 1
5216 celebration 1
5217 growing 2
5218 flowers 5
5219 carnations 1
5220 streak 1
5221 gillyvors 2
5222 bastards 2
5223 rustic 1
5224 garden 3
5225 slips 1
5226 dibble 1
5227 slip 3
5228 lavender 1
5229 mints 1
5230 savoury 1
5231 marjoram 1
5232 marigold 1
5233 wi 1
5234 rises 1
5235 middle 2
5236 grazing 1
5237 gazing 1
5238 january 1
5239 fair'st 1
5240 virgin 1
5241 branches 1
5242 maidenheads 1
5243 proserpina 1
5244 let'st 1
5245 dis 1
5246 waggon 1
5247 dim 1
5248 lids 1
5249 juno 1
5250 cytherea 1
5251 primroses 1
5252 unmarried 1
5253 bight 1
5254 phoebus 1
5255 malady 1
5256 incident 1
5257 oxlips 1
5258 lilies 1
5259 kinds 1
5260 flower-de-luce 1
5261 betters 1
5262 ordering 1
5263 function 1
5264 singular 1
5265 curds 1
5266 cream 1
5267 mopsa 3
5268 doricles 1
5269 boasts 1
5270 feeding 1
5271 featly 2
5272 pedlar 1
5273 tabour 1
5274 pipe 1
5275 bagpipe 1
5276 sings 3
5277 tunes 3
5278 faster 1
5279 eaten 2
5280 ballads 3
5281 men's 1
5282 talkest 1
5283 admirable 1
5284 conceited 1
5285 unbraided 1
5286 wares 1
5287 ribbons 1
5288 rainbow 1
5289 lawyers 1
5290 learnedly 1
5291 handle 1
5292 inkles 1
5293 caddisses 1
5294 cambrics 1
5295 lawns 1
5296 goddesses 1
5297 smock 1
5298 she-angel 1
5299 sleeve-hand 1
5300 square 1
5301 scurrilous 1
5302 lawn 1
5303 driven 1
5304 cyprus 1
5305 crow 3
5306 gloves 1
5307 damask 1
5308 bugle 1
5309 bracelet 2
5310 necklace 1
5311 amber 1
5312 perfume 2
5313 chamber 3
5314 quoifs 1
5315 stomachers 1
5316 dears 1
5317 pins 1
5318 poking-sticks 1
5319 heel 2
5320 lasses 1
5321 cozened 1
5322 parcels 1
5323 ballad 5
5324 print 3
5325 dorcas 5
5326 marrying 1
5327 usurer 1
5328 tale-porter 1
5329 wives 1
5330 appeared 2
5331 four-score 1
5332 april 1
5333 fathom 2
5334 sung 1
5335 turned 1
5336 'two 1
5337 wooing 4
5338 westward 1
5339 foolery 1
5340 refresh 1
5341 threes 1
5342 herdsmen 1
5343 jumps 1
5344 squier 1
5345 prizes 1
5346 gifts 2
5347 pack 2
5348 lock'd 1
5349 dove 2
5350 ethiopian 1
5351 fann'd 1
5352 bolted 1
5353 ampler 1
5354 fancy 2
5355 senses 2
5356 madness 4
5357 fraught 1
5358 curious 2
5359 nearest 1
5360 ponderous 2
5361 project 1
5362 alteration 1
5363 receiving 1
5364 disjunction 1
5365 forefend 1
5366 endeavours 1
5367 discontenting 1
5368 qualify 2
5369 unthought-on 1
5370 wildly 2
5371 profess 4
5372 sap 1
5373 affliction 1
5374 subdue 1
5375 instance 2
5376 trumpery 1
5377 stone 2
5378 ribbon 1
5379 pomander 1
5380 brooch 1
5381 table-book 1
5382 tape 1
5383 shoe-tie 1
5384 horn-ring 1
5385 fasting 1
5386 throng 1
5387 trinkets 1
5388 hallowed 1
5389 benediction 1
5390 buyer 1
5391 picture 1
5392 remembered 2
5393 wenches 1
5394 song 2
5395 pettitoes 1
5396 drew 1
5397 stuck 1
5398 pinched 1
5399 placket 1
5400 geld 2
5401 codpiece 1
5402 filed 1
5403 chains 1
5404 admiring 1
5405 lethargy 1
5406 picked 1
5407 festival 2
5408 whoo-bub 1
5409 king's 1
5410 scared 1
5411 choughs 1
5412 clear 1
5413 satisfy 3
5414 shakest 1
5415 flayed 2
5416 earnest 1
5417 sea-side 1
5418 hairy 1
5419 lying 2
5420 tradesmen 1
5421 stamped 1
5422 coin 1
5423 stabbing 1
5424 disdain 1
5425 handsomely 1
5426 fardel 4
5427 box 1
5428 aboard 3
5429 beest 1
5430 capable 2
5431 shepard 1
5432 hand-fast 1
5433 tortures 1
5434 germane 1
5435 fifty 2
5436 hangman 3
5437 necessary 1
5438 sheep-whistling 1
5439 ram-tender 1
5440 stoned 1
5441 sheep-cote 1
5442 sharpest 1
5443 an't 1
5444 performed 1
5445 unparallel 1
5446 strikest 1
5447 sorely 1
5448 seldom 1
5449 dangers 1
5450 incertain 1
5451 lookers 1
5452 holier 1
5453 future 2
5454 in't 1
5455 chose 1
5456 rift 1
5457 follow'd 1
5458 'remember 1
5459 coals 1
5460 pair'd 1
5461 speeches 1
5462 conceiving 1
5463 twenty-one 1
5464 goddess 1
5465 couple 3
5466 begetting 1
5467 society 1
5468 bearing 2
5469 afresh 1
5470 rarely 1
5471 interpreters 1
5472 behind-hand 1
5473 slackness 1
5474 exposed 1
5475 paragon 1
5476 usage 1
5477 ungentle 1
5478 neptune 1
5479 warlike 1
5480 smalus 1
5481 south-wind 1
5482 execute 3
5483 visiting 1
5484 sicilian 1
5485 shores 1
5486 libya 1
5487 arrival 1
5488 weathers 1
5489 lay't 1
5490 valleys 1
5491 'once 1
5492 slowly 1
5493 tied 1
5494 unanswer 1
5495 o'erthrown 1
5496 desires 1
5497 opening 1
5498 amazedness 1
5499 perceived 1
5500 notes 2
5501 admiration 1
5502 seemed 2
5503 staring 1
5504 cases 1
5505 dumbness 1
5506 gesture 1
5507 looked 1
5508 ransomed 1
5509 destroyed 1
5510 notable 1
5511 beholder 1
5512 importance 1
5513 rogero 1
5514 pregnant 1
5515 circumstance 1
5516 character 1
5517 resemblance 1
5518 nobleness 1
5519 evidences 1
5520 certainty 1
5521 waded 1
5522 holding 2
5523 countenances 1
5524 distraction 1
5525 garment 2
5526 leap 1
5527 asks 1
5528 embraces 2
5529 worries 1
5530 clipping 1
5531 weather-bitten 1
5532 lames 1
5533 undoes 1
5534 description 1
5535 became 1
5536 wrecked 1
5537 instant 1
5538 aided 1
5539 expose 1
5540 combat 1
5541 declined 1
5542 elevated 1
5543 fulfilled 1
5544 lifted 1
5545 embracing 1
5546 losing 1
5547 touches 2
5548 angled 1
5549 relation 1
5550 queen's 1
5551 bravely 1
5552 confessed 2
5553 lamented 1
5554 attentiveness 1
5555 dolour 1
5556 'alas 1
5557 bleed 1
5558 changed 2
5559 colour 4
5560 swooned 1
5561 sorrowed 1
5562 preferment 1
5563 overfond 1
5564 sea-sick 1
5565 continuing 1
5566 mystery 2
5567 remained 1
5568 undiscovered 1
5569 finder 1
5570 relished 1
5571 discredits 1
5572 appearing 1
5573 blossoms 1
5574 superstition 1
5575 implore 2
5576 ended 1
5577 statue 1
5578 fix 1
5579 curtain 2
5580 masterly 1
5581 ruddiness 1
5582 wet 2
5583 oily 1
5584 marvel 1
5585 bequeath 1
5586 numbness 1
5587 redeems 1
5588 start 1
5589 actions 1
5590 suitor 5
5591 vials 1
5592 preserved 2
5593 vincentio 75
5594 admit 3
5595 scruple 1
5596 enforce 1
5597 stage 1
5598 relish 1
5599 aves 1
5600 discretion 1
5601 affect 2
5602 escalus 20
5603 bottom 1
5604 instructed 1
5605 religion 1
5606 velvet 3
5607 three-piled 1
5608 kersey 1
5609 piled 2
5610 feelingly 1
5611 lucio 38
5612 painful 1
5613 healthy 1
5614 impiety 1
5615 overdone 10
5616 arrested 2
5617 carried 4
5618 chopped 1
5619 getting 1
5620 julietta 1
5621 agreeing 1
5622 custom-shrunk 1
5623 pompey 21
5624 commonwealth 2
5625 tapster 3
5626 claudio 23
5627 provost 25
5628 demigod 1
5629 authority 3
5630 immoderate 1
5631 restraint 1
5632 rats 1
5633 ravin 1
5634 bane 1
5635 thirsty 1
5636 unhappily 1
5637 deputy 4
5638 glimpse 1
5639 newness 1
5640 whereon 1
5641 governor 2
5642 spur 1
5643 tyranny 1
5644 emmence 1
5645 stagger 1
5646 awakes 1
5647 penalties 1
5648 unscour 1
5649 nineteen 2
5650 zodiacs 1
5651 drowsy 1
5652 neglected 1
5653 freshly 1
5654 surely 2
5655 encouragement 1
5656 imposition 1
5657 foolishly 1
5658 game 1
5659 tick-tack 1
5660 dribbling 1
5661 dart 1
5662 complete 1
5663 harbour 1
5664 wrinkled 1
5665 strict 1
5666 biting 1
5667 bits 1
5668 curbs 1
5669 headstrong 3
5670 o'ergrown 1
5671 lion 1
5672 cave 1
5673 twigs 1
5674 birch 1
5675 rod 1
5676 infliction 1
5677 beats 1
5678 athwart 1
5679 decorum 1
5680 rested 1
5681 unloose 1
5682 tied-up 1
5683 seem'd 1
5684 angelo 51
5685 francisca 1
5686 isabella 42
5687 ability 1
5688 assay 1
5689 staying 1
5690 affair 1
5691 elbow 12
5692 duke's 1
5693 constable 1
5694 notorious 2
5695 benefactors 1
5696 detest 1
5697 also 1
5698 naughty 1
5699 cardinally 1
5700 fornication 2
5701 adultery 1
5702 uncleanliness 1
5703 longing 1
5704 saving 1
5705 reverence 1
5706 stewed 1
5707 prunes 2
5708 distant 1
5709 fruit-dish 1
5710 three-pence 1
5711 dishes 3
5712 china 1
5713 cracking 1
5714 foresaid 1
5715 froth 4
5716 all-hallond 1
5717 eve 1
5718 truths 1
5719 bunch 1
5720 russia 1
5721 nights 1
5722 respected 3
5723 room 3
5724 tap-house 1
5725 splay 1
5726 carman 1
5727 whipt 2
5728 continued 1
5729 sufficient 1
5730 matters 1
5731 sisterhood 2
5732 admitted 1
5733 fornicatress 1
5734 lavish 1
5735 woeful 1
5736 potency 1
5737 isabel 5
5738 top 2
5739 slept 2
5740 dared 1
5741 edict 1
5742 evils 2
5743 remissness 1
5744 new-conceived 1
5745 progress 1
5746 hatch 2
5747 successive 1
5748 degrees 2
5749 choleric 2
5750 blasphemy 1
5751 err 1
5752 medicine 2
5753 guiltiness 1
5754 bribe 1
5755 tempter 1
5756 tempted 1
5757 tempt 1
5758 violet 1
5759 raze 1
5760 pitch 1
5761 foully 1
5762 judges 1
5763 temptation 1
5764 goad 1
5765 vigour 1
5766 subdues 1
5767 smiled 1
5768 gentlewoman 2
5769 flaws 1
5770 offenceful 1
5771 mutually 1
5772 instruction 1
5773 appears 2
5774 accountant 1
5775 subscribe 1
5776 finding 1
5777 desired 1
5778 all-building 1
5779 treasures 1
5780 advantage 4
5781 licence 1
5782 fouler 2
5783 've 1
5784 twain 2
5785 devilish 2
5786 fetter 1
5787 flowery 1
5788 darkness 1
5789 hug 1
5790 damned'st 1
5791 invest 1
5792 prenzie 1
5793 guards 1
5794 virginity 1
5795 abhor 1
5796 diest 1
5797 deliverance 1
5798 frankly 1
5799 faithless 1
5800 dishonest 1
5801 incest 1
5802 warped 1
5803 wilderness 1
5804 bending 1
5805 reprieve 1
5806 fate 2
5807 dispense 1
5808 overheard 1
5809 passed 1
5810 essay 1
5811 practise 5
5812 denial 1
5813 fallible 1
5814 promises 1
5815 habit 2
5816 assault 1
5817 conveyed 1
5818 frailty 1
5819 examples 1
5820 avail 1
5821 forenamed 1
5822 continuance 1
5823 unkindness 1
5824 quenched 1
5825 unruly 1
5826 requiring 1
5827 plausible 1
5828 convenience 1
5829 wronged 1
5830 appointment 1
5831 compel 1
5832 untainted 1
5833 mariana 9
5834 advantaged 1
5835 scaled 1
5836 doubleness 1
5837 defends 1
5838 reproof 1
5839 perfection 1
5840 speedily 1
5841 luke 1
5842 moated 1
5843 grange 1
5844 dejected 1
5845 brown 2
5846 causest 1
5847 cram 1
5848 maw 1
5849 clothe 2
5850 filthy 1
5851 abominable 1
5852 beastly 1
5853 stinkingly 1
5854 depending 1
5855 waist 1
5856 cord 1
5857 beef 3
5858 tub 1
5859 fresh 2
5860 powdered 1
5861 unshunned 1
5862 ways 2
5863 fantastical 2
5864 beggary 1
5865 transgression 1
5866 lechery 1
5867 crabbed 1
5868 sea-maid 1
5869 spawned 1
5870 begot 1
5871 stock-fishes 1
5872 urine 1
5873 congealed 1
5874 ice 2
5875 generative 1
5876 accounted 1
5877 information 1
5878 kate 6
5879 keepdown 1
5880 philip 1
5881 jacob 1
5882 severe 1
5883 pattern 1
5884 paying 1
5885 self-offences 1
5886 striking 1
5887 kills 1
5888 treble 1
5889 weed 1
5890 crimes 1
5891 strings 1
5892 substantial 1
5893 apply 2
5894 betrothed 1
5895 disguised 2
5896 exacting 1
5897 contracting 1
5898 inquired 1
5899 constantly 1
5900 forbearance 1
5901 tokens 2
5902 'greed 1
5903 concerning 1
5904 observance 1
5905 compound 1
5906 estimation 1
5907 abhorson 6
5908 fits 2
5909 thief 5
5910 big 3
5911 man's 2
5912 agreed 2
5913 penitent 3
5914 oftener 1
5915 yare 3
5916 curfew 1
5917 rung 1
5918 happily 1
5919 apprehends 1
5920 dreadfully 1
5921 insensible 1
5922 mortality 1
5923 desperately 1
5924 constancy 1
5925 beguiles 1
5926 manifested 1
5927 respite 1
5928 limited 1
5929 smallest 1
5930 disguiser 1
5931 shave 1
5932 tie 1
5933 bared 1
5934 dealing 1
5935 profession 1
5936 customers 1
5937 rash 1
5938 ginger 2
5939 ninescore 1
5940 pounds 1
5941 marks 1
5942 caper 1
5943 mercer 1
5944 suits 1
5945 peach-coloured 1
5946 satin 1
5947 peaches 1
5948 dizy 1
5949 deep-vow 1
5950 copperspur 1
5951 starve-lackey 1
5952 drop-heir 1
5953 pudding 1
5954 forthlight 1
5955 tilter 1
5956 shooty 1
5957 traveller 1
5958 half-can 1
5959 stabbed 1
5960 axe 1
5961 block 1
5962 clap 1
5963 barnardine 2
5964 billets 1
5965 journey 2
5966 persuasion 1
5967 fever 1
5968 ragozine 2
5969 pirate 1
5970 omit 1
5971 reprobate 1
5972 hurts 1
5973 syllable 1
5974 verity 1
5975 convent 1
5976 revenges 1
5977 sup 2
5978 fruitful 3
5979 meal 1
5980 tarry 1
5981 medlar 1
5982 bawdy 1
5983 burr 1
5984 disvouched 1
5985 entering 2
5986 injustice 2
5987 exhibit 1
5988 petitions 1
5989 indirectly 1
5990 generous 1
5991 gravest 1
5992 hent 1
5993 relate 1
5994 reveal 1
5995 punish 1
5996 believest 1
5997 unlike 1
5998 wicked'st 1
5999 shy 1
6000 absolute 1
6001 dressings 1
6002 characts 1
6003 titles 1
6004 forms 1
6005 arch-villain 1
6006 badness 1
6007 oddest 1
6008 dependency 1
6009 probation 1
6010 warrants 1
6011 heed 2
6012 somewhat 1
6013 mended 2
6014 lodowick 1
6015 meddling 1
6016 retirement 1
6017 swinged 1
6018 saucy 1
6019 scurvy 1
6020 vanity 1
6021 seats 1
6022 impartial 1
6023 well-warranted 1
6024 chastisement 1
6025 determined 1
6026 slanderers 1
6027 vienna 2
6028 rascal 4
6029 unreverend 1
6030 unhallow 1
6031 suborn 1
6032 glance 1
6033 tax 1
6034 rack 3
6035 touse 1
6036 joint 2
6037 'unjust 1
6038 provincial 1
6039 looker 1
6040 boil 1
6041 bubble 1
6042 stew 1
6043 countenanced 1
6044 forfeits 2
6045 barber 1
6046 notedly 1
6047 resists 1
6048 madest 1
6049 bail 1
6050 sneak 1
6051 vassal 1
6052 pain'd 1
6053 unknown 2
6054 importune 1
6055 fact 1
6056 paved 1
6057 horror 1
6058 moulded 1
6059 lend 3
6060 message 1
6061 discharge 1
6062 deserving 1
6063 forgive 1
6064 therewithal 1
6065 remit 1
6066 glasses 1
6067 echo 2
6068 hunt 2
6069 huntsman 1
6070 swine 1
6071 wrapp 1
6072 rings 1
6073 fingers 1
6074 delicious 1
6075 attendants 1
6076 travelling 1
6077 player 1
6078 soto 1
6079 sack 2
6080 sly 5
6081 christophero 1
6082 'honour 1
6083 'lordship 1
6084 drank 1
6085 conserves 2
6086 raiment 1
6087 doublets 1
6088 backs 1
6089 stockings 1
6090 toes 1
6091 over-leather 1
6092 possessions 1
6093 infused 1
6094 droop 1
6095 shuns 1
6096 beaten 1
6097 lunacy 1
6098 abject 1
6099 plays 1
6100 caged 1
6101 nightingales 1
6102 softer 1
6103 lustful 1
6104 trimm 1
6105 semiramis 1
6106 bestrew 1
6107 trapp 1
6108 harness 1
6109 studded 1
6110 hawking 1
6111 hawks 1
6112 hounds 1
6113 welkin 1
6114 shrill 1
6115 echoes 1
6116 greyhounds 1
6117 stags 1
6118 fleeter 1
6119 thanked 1
6120 undress 1
6121 lucentio 42
6122 tranio 40
6123 padua 12
6124 nursery 1
6125 arts 1
6126 lombardy 1
6127 arm'd 1
6128 approved 2
6129 institute 1
6130 ingenious 1
6131 studies 1
6132 pisa 11
6133 merchant 1
6134 vincetino 2
6135 bentivolii 1
6136 florence 1
6137 conceived 1
6138 treats 1
6139 specially 2
6140 plash 1
6141 plunge 1
6142 satiety 1
6143 quench 1
6144 thirst 1
6145 mi 1
6146 perdonato 1
6147 continue 2
6148 sweets 1
6149 discipline 1
6150 stoics 1
6151 devote 1
6152 aristotle 1
6153 cheques 1
6154 ovid 1
6155 outcast 1
6156 abjured 1
6157 balk 1
6158 logic 1
6159 acquaintance 1
6160 rhetoric 1
6161 poesy 1
6162 mathematics 3
6163 metaphysics 1
6164 stomach 1
6165 profit 1
6166 gremio 30
6167 katharina 28
6168 mates 4
6169 hortensio 35
6170 gentler 1
6171 mould 1
6172 baptista 39
6173 bianca 27
6174 displease 1
6175 mew 2
6176 penance 1
6177 taketh 1
6178 poetry 2
6179 schoolmasters 1
6180 prefer 1
6181 bringing 1
6182 commune 1
6183 dam 1
6184 nails 1
6185 dough 1
6186 brooked 1
6187 parle 1
6188 toucheth 1
6189 rivals 1
6190 bianco 1
6191 thoroughly 1
6192 coral 2
6193 trance 1
6194 shrewd 3
6195 suitors 2
6196 plotted 1
6197 schoolmaster 2
6198 teaching 1
6199 device 1
6200 basta 1
6201 distinguish 1
6202 port 2
6203 florentine 1
6204 neapolitan 1
6205 uncase 1
6206 hat 1
6207 cloak 1
6208 biondello 18
6209 waits 2
6210 petruchio 50
6211 verona 3
6212 grumio 22
6213 rap 2
6214 'sirrah 1
6215 'knocking 1
6216 roundly 2
6217 ill-favour 1
6218 flatly 1
6219 puppet 1
6220 aglet-baby 1
6221 trot 1
6222 diseases 1
6223 stepp 1
6224 broach 1
6225 wealth 1
